source, method, avg time, time std dev
Pygame,average 1,0.09324201749950589,0.0010289516960994504
Pygame,average 3,0.48618875254960586,0.09289635069607544
Pygame,average 5,1.2502743811501205,0.19382463132848068
Pygame,gaussian 1,0.09302213374994608,0.001889704827954054
Pygame,gaussian 3,0.44795813214968805,0.0041855665441431385
Pygame,gaussian 5,1.1359035800998754,0.01327722703365787
Pygame,greyscale,0.003238527999201324,0.0012237024649542306
Pygame,canny without blur,1.3180633268502788,0.0978916534316212
Pygame,canny with 3x3 gaussian blur,1.7417828214500333,0.07891277827196028
OpenCV,average filter2D 1,5.6854149624996354e-05,3.911290303798019e-05
OpenCV,average filter2D 3,0.00020745269994222327,8.886801350019969e-06
OpenCV,average filter2D 5,0.0005219191498326836,9.479818255540034e-06
OpenCV,gaussian filter2D 1,4.846765023103217e-05,1.6695947998239335e-06
OpenCV,gaussian filter2D 3,0.00020710019980469952,7.1185163295445795e-06
OpenCV,gaussian filter2D 5,0.0005179546998988372,7.0821397652007685e-06
OpenCV,average native 1,0.00019552760004444282,6.793140042986104e-06
OpenCV,gaussian native 1,6.731350003974512e-06,1.717324382753291e-06
OpenCV,average native 3,7.146029929572251e-05,5.147753345859013e-07
OpenCV,gaussian native 3,9.909934979077662e-05,5.2595091230534575e-06
OpenCV,average native 5,8.697289977135369e-05,2.476943498648021e-06
OpenCV,gaussian native 5,0.00014215014980436535,3.703527060420732e-06
OpenCV,greyscale,4.666089989768807e-05,8.370731434901537e-06
OpenCV,canny without blur,0.00020126409999647875,6.169530481008677e-05
OpenCV,canny with 3x3 gaussian blur,0.00020520875004876872,3.263019276579628e-05
