source, method, avg time, time std dev
Pygame,average 3,5.9181518542499365,0.003466230328213941
Pygame,gaussian 1,1.30382440234971,0.001431125989291312
Pygame,gaussian 5,14.87962904010019,0.07705551807856144
Pygame,average 1,1.3068724793499313,0.000964301230899121
Pygame,gaussian 3,5.959266409499923,0.0027405542256777196
Pygame,average 5,14.916351538949858,0.1090176783692136
Pygame,canny with 3x3 gaussian blur,21.836023810549705,0.02131264257353468
Pygame,canny without blur,15.90995713780021,0.015177667097560679
Pygame,greyscale,0.028784311750132473,0.00021700191257573918
OpenCV,gaussian filter2D 1,0.001395942649924109,1.7143480122416754e-05
OpenCV,gaussian native 3,0.002069975550057279,2.2188304301282826e-05
OpenCV,greyscale,0.0004524705001131224,5.034558955460072e-05
OpenCV,average native 3,0.002137157500237663,1.415511146938846e-05
OpenCV,gaussian native 1,5.0820300020859574e-05,1.5023685457911887e-05
OpenCV,gaussian filter2D 5,0.010768964649832924,8.928186352940532e-05
OpenCV,average native 1,0.0016942911500336777,3.6343003762583e-05
OpenCV,canny without blur,0.0023491467497478878,0.000492960898472895
OpenCV,average filter2D 1,0.0015006223999989743,0.00042336386532067027
OpenCV,gaussian filter2D 3,0.004645900399827952,2.4353306938223507e-05
OpenCV,average filter2D 5,0.010723845200118376,1.4065486713037335e-05
OpenCV,average filter2D 3,0.0046622648501397634,4.2192671780976785e-05
OpenCV,average native 5,0.0023647796499972175,6.001770421383027e-05
OpenCV,canny with 3x3 gaussian blur,0.0029542029499680213,4.507362760516591e-05
OpenCV,gaussian native 5,0.0040813598000568165,3.394562592003221e-05
